A,B,C,D,isolate,uniprod_id
coo:CCU_16710,CDS,complement(1723291..1725267),Osmosensitive K+ channel histidine kinase,T02583,
coo:CCU_16720,CDS,complement(1725331..1725585),hypothetical protein,T02583,
coo:CCU_16730,CDS,complement(1725601..1726248),"K+ transport systems, NAD-binding component",T02583,
coo:CCU_16740,CDS,complement(1726264..1727601),"Trk-type K+ transport systems, membrane components",T02583,
coo:CCU_16750,CDS,complement(1727912..1729663),1-deoxy-D-xylulose-5-phosphate synthase,T02583,
coo:CCU_16760,CDS,complement(1729712..1730089),"transcriptional regulator, MerR family",T02583,
coo:CCU_16770,CDS,complement(1730321..1730575),Predicted transcriptional regulators,T02583,
coo:CCU_16780,CDS,complement(1730816..1730974),hypothetical protein,T02583,
coo:CCU_16800,CDS,complement(1731569..1731952),Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily.,T02583,
coo:CCU_16810,CDS,1732211..1733506,Serine protease inhibitor,T02583,
coo:CCU_16840,CDS,complement(1736571..1738472),HD-GYP domain,T02583,
coo:CCU_16850,CDS,complement(1738570..1738905),Predicted transcriptional regulators,T02583,
coo:CCU_16880,CDS,complement(1739857..1744911),Bacterial Ig-like domain (group 2)./Fibronectin type III domain.,T02583,
coo:CCU_16890,CDS,complement(1744872..1746077),hypothetical protein,T02583,
coo:CCU_16900,CDS,complement(1746771..1747604),hypothetical protein,T02583,
coo:CCU_16910,CDS,complement(1747750..1748871),hypothetical protein,T02583,
coo:CCU_16920,CDS,complement(1748858..1749586),Predicted transcriptional regulators,T02583,
coo:CCU_16930,CDS,complement(1749574..1750050),hypothetical protein,T02583,
coo:CCU_17000,CDS,complement(1756169..1756765),Phosphoribosyl transferase domain.,T02583,
coo:CCU_17010,CDS,complement(1756772..1756891),hypothetical protein,T02583,
coo:CCU_17030,CDS,complement(1758252..1760198),"Site-specific recombinases, DNA invertase Pin homologs",T02583,
coo:CCU_17040,CDS,complement(1760185..1760430),Helix-turn-helix.,T02583,
coo:CCU_17060,CDS,complement(1760699..1761685),Plasmid recombination enzyme.,T02583,
coo:CCU_17070,CDS,complement(1761688..1761906),hypothetical protein,T02583,
coo:CCU_17090,CDS,complement(1763848..1764468),DNA primase (bacterial type),T02583,
coo:CCU_17100,CDS,1764702..1765541,Predicted transcriptional regulators,T02583,
coo:CCU_17110,CDS,1765522..1766184,"RNA polymerase sigma factor, sigma-70 family",T02583,
coo:CCU_17120,CDS,1766747..1767106,Predicted transcriptional regulators,T02583,
coo:CCU_17130,CDS,1767103..1767561,Predicted membrane protein,T02583,
coo:CCU_17140,CDS,1767565..1768008,hypothetical protein,T02583,
coo:CCU_17150,CDS,1768170..1768454,hypothetical protein,T02583,
coo:CCU_17160,CDS,complement(1768597..1770249),23S rRNA m(5)U-1939 methyltransferase,T02583,
coo:CCU_17170,CDS,complement(1770335..1770871),"phosphoesterase, MJ0936 family",T02583,
coo:CCU_17180,CDS,complement(1770928..1771530),"non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family",T02583,
coo:CCU_17200,CDS,complement(1773261..1774418),Predicted N6-adenine-specific DNA methylase,T02583,
coo:CCU_17210,CDS,complement(1774451..1774759),Rhodanese-related sulfurtransferase,T02583,
coo:CCU_17220,CDS,complement(1774890..1777532),valyl-tRNA synthetase,T02583,
coo:CCU_17230,CDS,complement(1777905..1778741),hypothetical protein,T02583,
coo:CCU_17240,CDS,complement(1778749..1780674),hypothetical protein,T02583,
coo:CCU_17250,CDS,complement(1780708..1784274),hypothetical protein,T02583,
coo:CCU_17260,CDS,1784461..1785531,Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase,T02583,
coo:CCU_17270,CDS,1785587..1786228,hypothetical protein,T02583,
coo:CCU_17280,CDS,complement(1786354..1787925),Spermidine/putrescine-binding periplasmic protein,T02583,
coo:CCU_17290,CDS,complement(1787922..1788713),"ABC-type spermidine/putrescine transport system, permease component II",T02583,
coo:CCU_17300,CDS,complement(1788713..1789513),"ABC-type spermidine/putrescine transport system, permease component I",T02583,
coo:CCU_17310,CDS,complement(1789528..1790976),spermidine/putrescine ABC transporter ATP-binding subunit,T02583,
coo:CCU_17320,CDS,complement(1791010..1791234),hypothetical protein,T02583,
coo:CCU_17330,CDS,complement(1791653..1791733),hypothetical protein,T02583,
coo:CCU_17340,CDS,complement(1791767..1791874),hypothetical protein,T02583,
coo:CCU_17350,CDS,complement(1791871..1792764),hypothetical protein,T02583,
coo:CCU_17370,CDS,complement(1793971..1794753),TraX protein.,T02583,
coo:CCU_17380,CDS,complement(1795068..1796525),Beta-fructosidases (levanase/invertase),T02583,
coo:CCU_17400,CDS,complement(1796795..1797478),"H(+)-transporting ATP synthase, vacuolar type, subunit D",T02583,
coo:CCU_17410,CDS,complement(1797741..1799111),Archaeal/vacuolar-type H+-ATPase subunit B,T02583,
coo:CCU_17430,CDS,complement(1801031..1801351),Archaeal/vacuolar-type H+-ATPase subunit F,T02583,
coo:CCU_17440,CDS,complement(1801344..1802315),Archaeal/vacuolar-type H+-ATPase subunit C,T02583,
coo:CCU_17450,CDS,complement(1802330..1802932),Archaeal/vacuolar-type H+-ATPase subunit E,T02583,
coo:CCU_17460,CDS,complement(1802957..1803430),ATP synthase subunit C.,T02583,
coo:CCU_17470,CDS,complement(1803459..1805486),Archaeal/vacuolar-type H+-ATPase subunit I,T02583,
coo:CCU_17480,CDS,complement(1805524..1805835),Vacuolar (H+)-ATPase G subunit.,T02583,
coo:CCU_17490,CDS,complement(1806215..1806640),ribose-5-phosphate isomerase,T02583,
coo:CCU_17500,CDS,complement(1806683..1807735),Sua5/YciO/YrdC/YwlC family protein,T02583,
coo:CCU_17510,CDS,1807912..1808682,N-acetylmuramoyl-L-alanine amidase,T02583,
coo:CCU_17520,CDS,1809236..1810129,"Negative regulator of genetic competence, sporulation and motility",T02583,
coo:CCU_17530,CDS,complement(1810194..1810973),Capsular polysaccharide biosynthesis protein,T02583,
coo:CCU_17540,CDS,complement(1811009..1811221),Domain of unknown function (DUF1858).,T02583,
coo:CCU_17550,CDS,1811417..1811587,"Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits",T02583,
coo:CCU_17570,CDS,complement(1814405..1814962),hypothetical protein,T02583,
coo:CCU_17580,CDS,complement(1815059..1816135),6-phosphofructokinase,T02583,
coo:CCU_17590,CDS,complement(1816189..1816788),recombination protein RecR,T02583,
coo:CCU_17600,CDS,complement(1816788..1817138),conserved hypothetical protein TIGR00103,T02583,
coo:CCU_17610,CDS,complement(1817187..1818833),"DNA polymerase III, subunits gamma and tau",T02583,
coo:CCU_17620,CDS,complement(1818903..1820309),FOG: FHA domain,T02583,
coo:CCU_17630,CDS,complement(1820278..1820724),hypothetical protein,T02583,
coo:CCU_17650,CDS,complement(1821696..1823144),hypothetical protein,T02583,
coo:CCU_17660,CDS,complement(1823156..1823326),hypothetical protein,T02583,
coo:CCU_17670,CDS,complement(1823355..1824686),Bacterial type II secretion system protein F domain.,T02583,
coo:CCU_17690,CDS,complement(1825446..1826702),"Flp pilus assembly protein, ATPase CpaF",T02583,
coo:CCU_17700,CDS,complement(1826699..1827598),hypothetical protein,T02583,
coo:CCU_17720,CDS,complement(1828682..1829065),hypothetical protein,T02583,
coo:CCU_17730,CDS,complement(1829223..1830968),Signal transduction histidine kinase,T02583,
coo:CCU_17740,CDS,complement(1831200..1834247),GtrA-like protein./Bacterial membrane protein YfhO.,T02583,
coo:CCU_17750,CDS,complement(1834333..1836606),Glycosyl hydrolase family 9./Carbohydrate binding domain./N-terminal ig-like domain of cellulase.,T02583,
coo:CCU_17760,CDS,complement(1836608..1837384),"phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase, eukaryotic type",T02583,
coo:CCU_17770,CDS,1837576..1838988,ATPases of the AAA+ class,T02583,
coo:CCU_17790,CDS,complement(1839687..1840418),Predicted amidophosphoribosyltransferases,T02583,
coo:CCU_17810,CDS,complement(1842797..1843789),rod shape-determining protein MreB,T02583,
coo:CCU_17820,CDS,complement(1843804..1846311),FOG: GAF domain,T02583,
coo:CCU_17830,CDS,complement(1846457..1847350),hypothetical protein,T02583,
coo:CCU_17840,CDS,1847512..1848267,hypothetical protein,T02583,
coo:CCU_17870,CDS,complement(1852836..1853894),FOG: FHA domain,T02583,
coo:CCU_17880,CDS,complement(1853947..1855770),glutamine--fructose-6-phosphate transaminase,T02583,
coo:CCU_29630,misc_RNA,complement(1855872..1856031),glmS glucosamine-6-phosphate activated ribozyme,T02583,
coo:CCU_17890,CDS,complement(1856242..1858278),methionyl-tRNA synthetase,T02583,
coo:CCU_17900,CDS,complement(1858471..1858860),Protein of unknown function (DUF2752).,T02583,
coo:CCU_17910,CDS,complement(1858887..1859660),hypothetical protein,T02583,
coo:CCU_17920,CDS,complement(1859886..1860227),hypothetical protein,T02583,
coo:CCU_17930,CDS,1860580..1861512,ornithine carbamoyltransferase,T02583,
coo:CCU_17940,CDS,1861550..1862479,aspartate carbamoyltransferase,T02583,
coo:CCU_17950,CDS,1862491..1862904,"Aspartate carbamoyltransferase, regulatory subunit",T02583,
coo:CCU_17960,CDS,1862979..1864280,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,T02583,
coo:CCU_17970,CDS,1864710..1866608,Beta-N-acetylglucosaminidase,T02583,
coo:CCU_17980,CDS,1866633..1868060,Cohesin domain.,T02583,
coo:CCU_17990,CDS,complement(1868154..1869341),methionine adenosyltransferase,T02583,
coo:CCU_18000,CDS,complement(1869625..1870356),TraX protein.,T02583,
coo:CCU_18010,CDS,complement(1870480..1870896),Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases,T02583,
coo:CCU_18020,CDS,complement(1870998..1871825),Predicted amidohydrolase,T02583,
coo:CCU_18030,CDS,1872090..1872665,Uncharacterized conserved protein,T02583,
coo:CCU_18040,CDS,1872808..1873134,Predicted transcriptional regulators,T02583,
coo:CCU_18050,CDS,complement(1873131..1874696),LysM domain.,T02583,
coo:CCU_18060,CDS,complement(1874731..1875225),hypothetical protein,T02583,
coo:CCU_18070,CDS,complement(1875382..1877214),aspartyl-tRNA synthetase,T02583,
coo:CCU_18080,CDS,complement(1877269..1877883),uncharacterized domain HDIG,T02583,
coo:CCU_18110,CDS,complement(1879575..1880234),"Zn-dependent hydrolases, including glyoxylases",T02583,
coo:CCU_18120,CDS,complement(1880234..1882678),"(p)ppGpp synthetase, RelA/SpoT family",T02583,
coo:CCU_18130,CDS,complement(1882714..1883238),adenine phosphoribosyltransferase,T02583,
coo:CCU_18140,CDS,complement(1883302..1885185),exonuclease RecJ,T02583,
coo:CCU_18150,CDS,1885455..1886603,lactaldehyde reductase,T02583,
coo:CCU_18160,CDS,complement(1886772..1887515),"haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED",T02583,
coo:CCU_18170,CDS,complement(1887567..1889759),protein translocase subunit secF/protein translocase subunit secD,T02583,
coo:CCU_18180,CDS,complement(1889781..1891145),Arylsulfatase regulator (Fe-S oxidoreductase),T02583,
coo:CCU_18190,CDS,complement(1891292..1891441),hypothetical protein,T02583,
coo:CCU_18200,CDS,complement(1891514..1891876),hypothetical protein,T02583,
coo:CCU_18210,CDS,complement(1891951..1892601),"haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED/haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E",T02583,
coo:CCU_18220,CDS,complement(1892618..1897798),hypothetical protein,T02583,
coo:CCU_18230,CDS,complement(1897811..1898572),hypothetical protein,T02583,
coo:CCU_18240,CDS,complement(1898590..1900725),Protein kinase domain.,T02583,
coo:CCU_18250,CDS,complement(1900739..1901509),Serine/threonine protein phosphatase,T02583,
coo:CCU_18280,CDS,complement(1903725..1905365),FHA domain.,T02583,
coo:CCU_18300,CDS,1906751..1907269,Peptidyl-prolyl cis-trans isomerase (rotamase)-cyclophilin family,T02583,
coo:CCU_18360,CDS,complement(1909887..1910456),hypothetical protein,T02583,
coo:CCU_18370,CDS,complement(1910456..1911316),hypothetical protein,T02583,
coo:CCU_18380,CDS,complement(1911414..1911560),hypothetical protein,T02583,
coo:CCU_18390,CDS,complement(1911848..1911994),hypothetical protein,T02583,
coo:CCU_18410,CDS,complement(1914270..1914902),"ABC-type multidrug transport system, ATPase component",T02583,
coo:CCU_18440,CDS,complement(1916303..1916371),hypothetical protein,T02583,
coo:CCU_18450,CDS,complement(1916368..1917159),hypothetical protein,T02583,
coo:CCU_18460,CDS,complement(1917174..1917731),hypothetical protein,T02583,
coo:CCU_18470,CDS,complement(1917763..1918674),hypothetical protein,T02583,
coo:CCU_18480,CDS,complement(1918697..1919194),hypothetical protein,T02583,
coo:CCU_18490,CDS,complement(1919191..1919511),Accessory gene regulator B.,T02583,
coo:CCU_18500,CDS,1920387..1921169,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.",T02583,
coo:CCU_18510,CDS,1921202..1921945,Response regulator of the LytR/AlgR family,T02583,
coo:CCU_18520,CDS,1921967..1923232,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.",T02583,
coo:CCU_18530,CDS,complement(1923323..1924624),Diaminopimelate decarboxylase,T02583,
coo:CCU_18540,CDS,complement(1924626..1926260),Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,T02583,
coo:CCU_18550,CDS,complement(1926473..1927189),"Type II secretory pathway, prepilin signal peptidase PulO and related peptidases",T02583,
coo:CCU_18560,CDS,complement(1927502..1928743),phenylacetate-CoA ligase,T02583,
coo:CCU_18570,CDS,complement(1928786..1929358),"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",T02583,
coo:CCU_18580,CDS,complement(1929351..1931144),"indolepyruvate ferredoxin oxidoreductase, alpha subunit",T02583,
coo:CCU_18600,CDS,1932675..1933808,alanine racemase,T02583,
coo:CCU_18610,CDS,1933840..1934952,hypothetical protein,T02583,
coo:CCU_18620,CDS,complement(1935141..1935293),hypothetical protein,T02583,
coo:CCU_18630,CDS,complement(1935332..1935544),Helix-turn-helix.,T02583,
coo:CCU_18640,CDS,complement(1935742..1936581),conserved hypothetical protein TIGR00096,T02583,
coo:CCU_18660,CDS,complement(1937555..1938463),Uncharacterized homolog of PSP1,T02583,
coo:CCU_18670,CDS,complement(1938463..1939455),hypothetical protein,T02583,
coo:CCU_18680,CDS,complement(1939525..1940148),thymidylate kinase,T02583,
coo:CCU_18700,CDS,complement(1942049..1943077),Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),T02583,
coo:CCU_18710,CDS,complement(1943366..1943509),hypothetical protein,T02583,
coo:CCU_18740,CDS,complement(1947353..1948678),GTP-binding protein HflX,T02583,
coo:CCU_18750,CDS,complement(1948688..1950082),"L,D-transpeptidase catalytic domain.",T02583,
coo:CCU_18760,CDS,1950284..1951630,"putative efflux protein, MATE family",T02583,
coo:CCU_18770,CDS,complement(1951726..1956360),Beta-mannanase,T02583,
coo:CCU_18780,CDS,complement(1957440..1958102),"ABC-type antimicrobial peptide transport system, ATPase component",T02583,
coo:CCU_18790,CDS,complement(1958117..1958500),Predicted permease.,T02583,
coo:CCU_18800,CDS,complement(1958650..1960878),Predicted permease.,T02583,
coo:CCU_18810,CDS,complement(1961047..1962261),Aspartate/tyrosine/aromatic aminotransferase,T02583,
coo:CCU_18820,CDS,complement(1962727..1963884),Esterase/lipase,T02583,
coo:CCU_18840,CDS,complement(1964521..1964793),hypothetical protein,T02583,
coo:CCU_18850,CDS,complement(1964936..1965556),"Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family",T02583,
coo:CCU_18860,CDS,complement(1965694..1967367),hypothetical protein,T02583,
coo:CCU_18870,CDS,complement(1967575..1968222),Predicted hydrolase of the alpha/beta superfamily,T02583,
coo:CCU_18880,CDS,complement(1968235..1969095),"Putative transposase, YhgA-like.",T02583,
coo:CCU_18890,CDS,1969507..1969902,"transcriptional regulator, GntR family",T02583,
coo:CCU_18900,CDS,1969924..1971399,hypothetical protein,T02583,
coo:CCU_18910,CDS,complement(1971504..1972085),hypothetical protein,T02583,
coo:CCU_18920,CDS,complement(1972271..1973311),"monosaccharide ABC transporter substrate-binding protein, CUT2 family (TC 3.A.1.2.-)",T02583,
coo:CCU_18930,CDS,complement(1973304..1974266),"monosaccharide ABC transporter substrate-binding protein, CUT2 family (TC 3.A.1.2.-)",T02583,
coo:CCU_18950,CDS,complement(1976190..1977797),"two component transcriptional regulator, AraC family",T02583,
coo:CCU_19000,CDS,complement(1980600..1982108),"monosaccharide ABC transporter ATP-binding protein, CUT2 family (TC 3.A.1.2.-)",T02583,
coo:CCU_19010,CDS,complement(1982296..1983567),"monosaccharide ABC transporter substrate-binding protein, CUT2 family (TC 3.A.1.2.-)",T02583,
coo:CCU_19020,CDS,complement(1983569..1983703),hypothetical protein,T02583,
coo:CCU_19030,CDS,complement(1984031..1984642),hypothetical protein,T02583,
coo:CCU_19040,CDS,complement(1984702..1985493),TraX protein.,T02583,
coo:CCU_19050,CDS,complement(1985534..1987087),Predicted membrane protein,T02583,
coo:CCU_19060,CDS,complement(1987200..1991675),hypothetical protein,T02583,
coo:CCU_19070,CDS,complement(1991668..1992387),hypothetical protein,T02583,
coo:CCU_19080,CDS,complement(1992418..1994046),hypothetical protein,T02583,
coo:CCU_19090,CDS,complement(1994203..1995342),Uncharacterized membrane protein (homolog of Drosophila rhomboid),T02583,
coo:CCU_19100,CDS,complement(1995453..1996079),Glycerol dehydrogenase and related enzymes,T02583,
coo:CCU_19110,CDS,complement(1996119..1996508),Glycerol dehydrogenase and related enzymes,T02583,
